paper,paper_code,component_code,paper_family,question_id,question_number,current_topic,primary_topic,primary,secondary_topics,secondary,coverage_topics,status,current_syllabus,source_artifact,mark_scheme_artifact,source_pdf,mark_scheme_source_pdf,source,rationale,review_notes
13winter16,13winter16,13,p1,13winter16_q01,1,functions,quadratics,quadratics,,,quadratics,relabel_primary,True,pm1/pm1_2016_w16_13_qp_q01_question.png,pm1/pm1_2016_w16_13_ms_q01_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,"The no-intersection condition is a discriminant inequality, so quadratics is dominant.","The no-intersection condition is a discriminant inequality, so quadratics is dominant."
13winter16,13winter16,13,p1,13winter16_q02,2,binomial_expansion,series,series,,,series,keep,True,pm1/pm1_2016_w16_13_qp_q02_question.png,pm1/pm1_2016_w16_13_ms_q02_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,The current reviewed series routing matches the dominant mark-bearing topic.,The current reviewed series routing matches the dominant mark-bearing topic.
13winter16,13winter16,13,p1,13winter16_q03,3,trigonometry,trigonometry,trigonometry,,,trigonometry,keep,True,pm1/pm1_2016_w16_13_qp_q03_question.png,pm1/pm1_2016_w16_13_ms_q03_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,The current reviewed trigonometry routing matches the dominant mark-bearing topic.,The current reviewed trigonometry routing matches the dominant mark-bearing topic.
13winter16,13winter16,13,p1,13winter16_q04,4,functions,differentiation,differentiation,,,differentiation,relabel_primary,True,pm1/pm1_2016_w16_13_qp_q04_question.png,pm1/pm1_2016_w16_13_ms_q04_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,"Increasing-function analysis uses f prime and a quadratic derivative, so differentiation is dominant.","Increasing-function analysis uses f prime and a quadratic derivative, so differentiation is dominant."
13winter16,13winter16,13,p1,13winter16_q05,5,circular_measure,circular_measure,circular_measure,,,circular_measure,keep,True,pm1/pm1_2016_w16_13_qp_q05_question.png,pm1/pm1_2016_w16_13_ms_q05_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,The current reviewed circular_measure routing matches the dominant mark-bearing topic.,The current reviewed circular_measure routing matches the dominant mark-bearing topic.
13winter16,13winter16,13,p1,13winter16_q06,6,coordinate_geometry,coordinate_geometry,coordinate_geometry,,,coordinate_geometry,keep,True,pm1/pm1_2016_w16_13_qp_q06_question.png,pm1/pm1_2016_w16_13_ms_q06_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,The current reviewed coordinate_geometry routing matches the dominant mark-bearing topic.,The current reviewed coordinate_geometry routing matches the dominant mark-bearing topic.
13winter16,13winter16,13,p1,13winter16_q07,7,trigonometry,,,,,,exclude_current_syllabus,False,pm1/pm1_2016_w16_13_qp_q07_question.png,pm1/pm1_2016_w16_13_ms_q07_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic.","Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
13winter16,13winter16,13,p1,13winter16_q08,8,functions,functions,functions,,,functions,keep,True,pm1/pm1_2016_w16_13_qp_q08_question.png,pm1/pm1_2016_w16_13_ms_q08_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,The current reviewed functions routing matches the dominant mark-bearing topic.,The current reviewed functions routing matches the dominant mark-bearing topic.
13winter16,13winter16,13,p1,13winter16_q09,9,series_and_sequences,series,series,trigonometry;quadratics,trigonometry;quadratics,series;trigonometry;quadratics,add_secondary_topic,True,pm1/pm1_2016_w16_13_qp_q09_question.png,pm1/pm1_2016_w16_13_ms_q09_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,"The progression setup is dominant, with trigonometric terms and a quadratic in cos used substantially.","The progression setup is dominant, with trigonometric terms and a quadratic in cos used substantially."
13winter16,13winter16,13,p1,13winter16_q10,10,differentiation,differentiation,differentiation,integration,integration,differentiation;integration,add_secondary_topic,True,pm1/pm1_2016_w16_13_qp_q10_question.png,pm1/pm1_2016_w16_13_ms_q10_markscheme.png,input/pastpapers/9709/2016/question_papers/9709_w16_qp_13.pdf,input/pastpapers/9709/2016/mark_schemes/9709_w16_ms_13.pdf,p1_topic_overlap_review_batch_017_2026_07_03,"Tangent and parameter calculus dominate, with integration used substantially to obtain the curve.","Tangent and parameter calculus dominate, with integration used substantially to obtain the curve."
