question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
11summer12_q01,11summer12,11summer12,1,trigonometry,trigonometry,,trigonometry,keep,True,Solve and simplify a trigonometric equation; the marks are concentrated on trig identities and solution range handling.
11summer12_q02,11summer12,11summer12,2,binomial_expansion,series,,series,keep,True,Arithmetic progression algebra dominates all parts.
11summer12_q03,11summer12,11summer12,3,coordinate_geometry,circular_measure,,circular_measure,relabel_primary,True,"Equilateral-triangle geometry is setup; the assessed work is arc length, sector area, and shaded-area circular-measure reasoning."
11summer12_q04,11summer12,11summer12,4,coordinate_geometry,differentiation,,differentiation,relabel_primary,True,Related-rates question on a spherical watermelon; marks require differentiating mass with respect to radius and chaining rates.
11summer12_q05,11summer12,11summer12,5,differentiation,quadratics,,quadratics,relabel_primary,True,Intersection and tangency conditions reduce to quadratic equations and a discriminant/tangent condition; differentiation is not the dominant assessed method.
11summer12_q06,11summer12,11summer12,6,trigonometry,,,,exclude_current_syllabus,False,"Legacy 3D vector and scalar-product content is outside the current P1 major-topic set, so it should not be forced into trigonometry."
11summer12_q07,11summer12,11summer12,7,series_and_sequences,series,,series,keep,True,Binomial expansion coefficients and a term-matching condition dominate; trig notation is incidental context.
11summer12_q08,11summer12,11summer12,8,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,"Function inverse/range work is primary, with substantial completing-the-square and quadratic-range work supporting the function analysis."
11summer12_q09,11summer12,11summer12,9,coordinate_geometry,coordinate_geometry,,coordinate_geometry,keep,True,Straight-line gradient and coordinate-geometry work dominate.
11summer12_q10,11summer12,11summer12,10,differentiation,differentiation,,differentiation,keep,True,"Stationary points, curve gradient, and curve behaviour are differentiation-led."
11summer12_q11,11summer12,11summer12,11,integration,integration,,integration,keep,True,Area under a curve and exact integral evaluation dominate.
11summer13_q01,11summer13,11summer13,1,functions,differentiation,,differentiation,relabel_primary,True,The function context supports a derivative/sign argument; the assessed method is differentiation to prove the function is increasing.
11summer13_q02,11summer13,11summer13,2,binomial_expansion,series,,series,keep,True,Arithmetic progression terms and sums dominate.
11summer13_q03,11summer13,11summer13,3,circular_measure,circular_measure,,circular_measure,keep,True,"Arc length, sector area, and circular geometry dominate."
11summer13_q04,11summer13,11summer13,4,series_and_sequences,series,,series,keep,True,Binomial expansion and coefficient comparison dominate.
11summer13_q05,11summer13,11summer13,5,trigonometry,trigonometry,,trigonometry,keep,True,Trigonometric equation solving dominates.
11summer13_q06,11summer13,11summer13,6,coordinate_geometry,,,,exclude_current_syllabus,False,"Legacy 3D vector and scalar-product content is outside the current P1 major-topic set, so it should not be counted as coordinate geometry."
11summer13_q07,11summer13,11summer13,7,differentiation,quadratics,coordinate_geometry,quadratics;coordinate_geometry,relabel_primary_add_secondary,True,"The main tangent/intersection work is quadratic discriminant algebra; the coordinate points, midpoint, and line geometry are substantial secondary coverage."
11summer13_q08,11summer13,11summer13,8,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,"Function composition and inverse/range reasoning are primary, with completing-the-square/quadratic-range work earning substantial marks."
