paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
32summer13,1,32summer13_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus equation solved algebraically; no calculus is assessed.
32summer13,6,32summer13_q06,logarithmic_and_exponential_functions,integration,"differentiation,trigonometry,logarithmic_and_exponential_functions","integration,differentiation,trigonometry,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The exact integral is the final assessed task; the derivative result, trigonometric substitution and logarithmic form are substantial supporting work."
32summer13,7,32summer13_q07,algebra,trigonometry,,trigonometry,relabel_primary,"R cos(x-alpha) form and trigonometric equation solving are the assessed skills, not algebraic manipulation."
32summer13,8,32summer13_q08,differential_equations,differential_equations,algebra,"differential_equations,algebra",add_secondary_topic,"The differential equation is primary, with a separate partial-fractions decomposition contributing algebra coverage."
32summer14,5,32summer14_q05,algebra,algebra,differentiation,"algebra,differentiation",add_secondary_topic,"The repeated-factor polynomial problem is algebra primary, with differentiation used to justify the repeated-root condition."
32summer14,6,32summer14_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with circular-measure trigonometry used to form the equation."
32summer14,8,32summer14_q08,differentiation,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,The question culminates in an exact area integral after differentiating a trigonometric curve.
32summer15,1,32summer15_q01,logarithmic_and_exponential_functions,exclude_current_syllabus,,,exclude_current_syllabus,Trapezium-rule numerical integration is no longer current-syllabus P3 content.
32summer15,2,32summer15_q02,algebra,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"This is an exponential equation solved by substitution and logarithms, not general algebra."
32summer15,3,32summer15_q03,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Stationary-point differentiation is primary, with trigonometric identities used to solve the derivative condition."
32summer15,5,32summer15_q05,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with tangent/circular-measure trigonometry used to derive the equation."
32summer15,6,32summer15_q06,logarithmic_and_exponential_functions,integration,logarithmic_and_exponential_functions,"integration,logarithmic_and_exponential_functions",relabel_primary_add_secondary,The substitution and exact evaluation define an integration problem whose result is logarithmic.
32summer16,2,32summer16_q02,algebra,trigonometry,,trigonometry,relabel_primary,The tangent addition formula and trigonometric equation solving are the assessed topic.
32summer16,5,32summer16_q05,differentiation,integration,trigonometry,"integration,trigonometry",relabel_primary_add_secondary,The trigonometric substitution and exact integral evaluation make integration primary with trig coverage.
32summer16,6,32summer16_q06,logarithmic_and_exponential_functions,differentiation,"logarithmic_and_exponential_functions,trigonometry","differentiation,logarithmic_and_exponential_functions,trigonometry",relabel_primary_add_secondary,Implicit differentiation is primary; logarithmic and sine terms are substantial curve context.
32summer16,7,32summer16_q07,differentiation,differential_equations,,differential_equations,relabel_primary,The prompt asks to solve a differential equation; integration is used as the method rather than a separate objective.
32summer16,9,32summer16_q09,logarithmic_and_exponential_functions,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support a definite integral whose exact result is logarithmic; integration is primary.
32summer17,2,32summer17_q02,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
32summer17,5,32summer17_q05,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Stationary-point differentiation is primary, with a tangent equation used to solve the condition."
32summer17,7,32summer17_q07,integration,integration,differential_equations,"integration,differential_equations",add_secondary_topic,"The evaluated time integral is the larger task, but the setup explicitly forms a differential equation."
32summer17,10,32summer17_q10,logarithmic_and_exponential_functions,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The shaded-area calculation by integration is primary, after differentiating the logarithmic curve to find the normal."
32summer18,3,32summer18_q03,trigonometry,trigonometry,integration,"trigonometry,integration",add_secondary_topic,"The trigonometric identity is primary, with the follow-on exact integral adding integration coverage."
